"Collection Name","Field","Type","DB Constraints","Description","Validation"
"APPAccessList","key","string","NOT NULL","The unique key identifier for the access list entry, used for internal referencing and access control mapping.","None explicitly defined in DTO"
"APPAccessList","enabled","bool","NOT NULL","Boolean flag indicating whether this access list entry is currently active and enabled for use in the application.","None explicitly defined in DTO"
"APPAccessList","access_list_name","string","NOT NULL","The human-readable name of the access list, describing its purpose or scope within the application access control system.","None explicitly defined in DTO"
"APPAccessList","sub_access_list","[]types.SubAccessList","NOT NULL","An array of sub-access list entries, each containing nested access control configurations with their own keys and enabled states.","None explicitly defined in DTO"
"APPAccessList","ussd_enabled","bool","NOT NULL","Boolean flag indicating whether USSD (Unstructured Supplementary Service Data) functionality is enabled for this access list entry.","None explicitly defined in DTO"
"Advert","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Advert record, ensuring global uniqueness across the system.","required (auto-generated, no user input needed)"
"Advert","title","string","NOT NULL","The title or headline of the advertisement, providing a concise summary of the promotional content displayed to users.","required, length(3-20 characters), no special characters"
"Advert","description","string","NOT NULL","A detailed description of the advertisement content, providing additional context and information about the promotional offer or message.","None explicitly defined in DTO"
"Advert","banner_image","string","NOT NULL","The file path or URL reference to the banner image associated with this advertisement, used for visual presentation in the application interface.","required (on create), max 2MB, JPEG/PNG/GIF/WebP only"
"Advert","advert_for","string","NOT NULL","An enumeration indicating the target audience or realm for this advertisement, such as CBE, IFB, or BOTH, determining where the ad will be displayed.","required, must be one of: BOTH, IFB, CB"
"Advert","enabled","bool","NOT NULL","Boolean flag indicating whether this advertisement is currently active and visible to users in the application interface.","None explicitly defined in DTO"
"Advert","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this advertisement record has been marked for deletion, allowing for data retention and audit purposes.","None explicitly defined in DTO"
"Advert","deleted_at","time.Time","nullable","Timestamp indicating when this advertisement record was soft-deleted, providing an audit trail for data lifecycle management.","None explicitly defined in DTO"
"Advert","created_at","time.Time","NOT NULL","Timestamp when the advertisement record was initially created in the system, automatically set upon record creation.","None explicitly defined in DTO"
"Advert","last_updated_at","NotificationPurpose","NOT NULL","Timestamp indicating the most recent modification to this advertisement record, automatically updated on each change.","None explicitly defined in DTO"
"ArchivedLinkedAccount","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each ArchivedLinkedAccount record.","required (auto-generated, no user input needed)"
"ArchivedLinkedAccount","user_id","bson.ObjectID","NOT NULL, FK to User.id","Foreign key reference to the User record who owns this linked account, establishing the relationship between users and their archived account linkages.","None explicitly defined in DTO"
"ArchivedLinkedAccount","customer_number","string","NOT NULL","The Customer Information File (CIF) number associated with this linked account, serving as a unique identifier for the customer in the banking system.","None explicitly defined in DTO"
"ArchivedLinkedAccount","account_number","string","NOT NULL","The unique bank account number associated with this archived linked account, used for transaction processing and account identification.","None explicitly defined in DTO"
"ArchivedLinkedAccount","account_holder_name","string","NOT NULL","The full legal name of the account holder as registered in the banking system, ensuring proper account ownership verification.","None explicitly defined in DTO"
"ArchivedLinkedAccount","account_type","string","NOT NULL","The classification of the bank account type, such as savings, checking, or current account, determining account features and restrictions.","None explicitly defined in DTO"
