Collection Name,Field,Type,DB Constraints,Description,Validation
APPAccessList,key,string,NOT NULL,"Unique key identifier for access list entry.",""
APPAccessList,enabled,bool,NOT NULL,"Whether this access list entry is enabled.",""
APPAccessList,access_list_name,string,NOT NULL,"Human-readable name for the access list entry.",""
APPAccessList,sub_access_list,[]types.SubAccessList,NOT NULL,"Nested sub-access configurations.",""
APPAccessList,ussd_enabled,bool,NOT NULL,"Whether USSD is enabled for this access list entry.",""
Advert,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for advert.","auto-generated"
Advert,title,string,NOT NULL,"Advert title/headline.",""
Advert,description,string,NOT NULL,"Advert description/body.",""
Advert,banner_image,string,NOT NULL,"Banner image path/URL.",""
Advert,advert_for,constants.AdvertFor,NOT NULL,"Target audience/realm for the advert.","enum"
Advert,enabled,bool,NOT NULL,"Whether advert is active/visible.",""
Advert,is_deleted,bool,NOT NULL,"Soft delete flag.",""
Advert,deleted_at,time.Time,"NOT NULL in struct (may be zero)","Soft-delete timestamp.",""
Advert,created_at,time.Time,NOT NULL,"Creation timestamp.",""
Advert,last_updated_at,time.Time,NOT NULL,"Last update timestamp.",""
ArchivedLinkedAccount,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier.","auto-generated"
ArchivedLinkedAccount,user_id,bson.ObjectID,NOT NULL,"Reference to owning user.",""
ArchivedLinkedAccount,customer_number,string,NOT NULL,"Customer number (CIF).",""
ArchivedLinkedAccount,account_number,string,NOT NULL,"Bank account number.",""
ArchivedLinkedAccount,account_holder_name,string,NOT NULL,"Account holder full name.",""
ArchivedLinkedAccount,account_type,string,NOT NULL,"Account type/classification.",""
ArchivedLinkedAccount,branch_code,string,NOT NULL,"Branch code where account is associated.",""
ArchivedLinkedAccount,linked_status,bool,NOT NULL,"Whether account was linked at archival time.",""
ArchivedLinkedAccount,last_linked_status,bool,NOT NULL,"Previous linked status before archival.",""
ArchivedLinkedAccount,linked_at,time.Time,NOT NULL,"When the account was linked.",""
ArchivedLinkedAccount,linker_branch,string,NOT NULL,"Branch that performed linking.",""
ArchivedLinkedAccount,registration_type,constants.RegistrationType,NOT NULL,"How the account was registered/linked.","enum"
ArchivedLinkedAccount,is_account_active,bool,NOT NULL,"Whether underlying core account is active.",""
ArchivedLinkedAccount,and_or_status,bool,NOT NULL,"Logical status used for multi-account scenarios.",""
ArchivedLinkedAccount,account_branch_code,string,NOT NULL,"Branch code tied to account.",""
ArchivedLinkedAccount,currency,string,NOT NULL,"Currency code (note: bson tag is 'curreny' in code).",""

AuthTier,_id (json:id),bson.ObjectID,"PK","Unique MongoDB identifier for auth tier.","auto-generated"
AuthTier,min_amount,uint64,NOT NULL,"Minimum transaction amount for this tier.",""
AuthTier,max_amount,uint64,NOT NULL,"Maximum transaction amount for this tier.",""
AuthTier,method,constants.Method,NOT NULL,"Authentication method required for this amount range.","enum"
AuthTier,enabled,bool,NOT NULL,"Whether this tier is enabled.",""
AuthTier,is_deleted,bool,NOT NULL,"Soft delete flag.",""
AuthTier,created_at,time.Time,NOT NULL,"Creation timestamp.",""
AuthTier,last_modified,time.Time,NOT NULL,"Last modification timestamp.",""

Avatar,_id (json:id),bson.ObjectID,"PK","Unique MongoDB identifier for avatar.","auto-generated"
Avatar,avatar,string,NOT NULL,"Avatar image path/URL.",""
Avatar,label,string,NOT NULL,"Display label for avatar option.",""
Avatar,enable,bool,NOT NULL,"Whether avatar option is enabled.",""
Avatar,is_deleted,bool,NOT NULL,"Soft delete flag.",""
Avatar,created_at,time.Time,NOT NULL,"Creation timestamp.",""
Avatar,last_modified_at,time.Time,NOT NULL,"Last modification timestamp.",""
Avatar,deleted_at,*time.Time,nullable,"Soft delete timestamp.",""

Bank,_id (json:id),bson.ObjectID,"PK","Unique MongoDB identifier for bank.","auto-generated"
Bank,name,string,NOT NULL,"Bank name.",""
Bank,logo,string,NOT NULL,"Bank logo path/URL.",""
Bank,code,string,NOT NULL,"Bank code.",""
Bank,bic,string,NOT NULL,"Bank SWIFT/BIC.",""
Bank,type,string,NOT NULL,"Bank type classification.",""
Bank,account_length,int,NOT NULL,"Expected bank account number length.",""
Bank,enabled,bool,NOT NULL,"Whether bank is enabled.",""
Bank,is_deleted,bool,NOT NULL,"Soft delete flag.",""
Bank,created_at,time.Time,"NOT NULL (omitzero)","Creation timestamp.",""
Bank,last_modified_at,time.Time,"NOT NULL (omitzero)","Last modification timestamp.",""

BudgetCategory,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for budget category.","auto-generated"
BudgetCategory,name,string,NOT NULL,"Category name.",""
BudgetCategory,color,string,NOT NULL,"Color code for UI.",""
BudgetCategory,icon,string,NOT NULL,"Icon identifier/path.",""
BudgetCategory,enabled,bool,NOT NULL,"Whether category is enabled.",""
BudgetCategory,is_deleted,bool,NOT NULL,"Soft delete flag.",""
BudgetCategory,created_at,time.Time,NOT NULL,"Creation timestamp.",""
BudgetCategory,updated_at,time.Time,NOT NULL,"Update timestamp.",""

Card,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for card group.","auto-generated"
Card,card_name,string,NOT NULL,"Card group/category name.",""
Card,sub_cards,[]string,NOT NULL,"List of sub-card names/options.",""

CPSAction,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for CPS action record.","auto-generated"
CPSAction,action_code,string,NOT NULL,"Action code identifying the workflow/action.",""
CPSAction,unique_id,string,optional,"Target entity identifier associated to this action.",""
CPSAction,maker_id,string,NOT NULL,"Maker user identifier who initiated action.",""
CPSAction,maker_name,string,NOT NULL,"Maker full name.",""
CPSAction,maker_phone_number,string,NOT NULL,"Maker phone number.",""
CPSAction,checker_users,[]Checker,NOT NULL,"List of checker steps/users.",""
CPSAction,auditor_users,[]Auditor,NOT NULL,"List of auditor steps/users.",""
CPSAction,auditor_count,int32,NOT NULL,"Total auditors count.",""
CPSAction,auditor_status,AuditorStatus,NOT NULL,"Auditor flow status.","enum"
CPSAction,current_auditor_index,float64,NOT NULL,"Current auditor index pointer.",""
CPSAction,checker_count,int32,NOT NULL,"Total checkers count.",""
CPSAction,current_checker_index,float64,NOT NULL,"Current checker index pointer.",""
CPSAction,role_code,string,NOT NULL,"Role code governing approval.",""
CPSAction,rejection_reason,string,optional,"Reason for rejection.",""
CPSAction,previous_action,interface{},optional,"Previous state snapshot (audit).",""

